date,membership_tier,daily_visitors,new_registrations,inactive_members,net_change,return_rate,avg_ticket_price,daily_revenue,arpv,fast_pass_attachment_rate,avg_ancillary_spend,month,dow
2024-01-23,premium_pass,358,18,7,11,0.7521,139.0,85456.11,238.7,0.6292,62.58,1,1
2024-01-23,vip_pass,47,5,0,5,0.8983,249.0,19373.65,412.21,0.9403,107.73,1,1
2024-01-24,standard_pass,609,55,12,43,0.6467,79.0,90242.56,148.18,0.2688,53.32,1,2
2024-01-24,premium_pass,324,26,6,20,0.781,131.52,82592.01,254.91,0.4895,94.52,1,2
2024-01-24,vip_pass,51,4,1,3,0.8585,249.0,20130.16,394.71,0.8912,93.13,1,2
2024-01-25,standard_pass,678,72,13,59,0.6104,79.0,114151.28,168.36,0.3116,70.98,1,3
2024-01-25,premium_pass,332,17,6,11,0.7854,139.0,78717.37,237.1,0.5565,65.26,1,3
2024-01-25,vip_pass,53,4,1,3,0.8266,249.0,21496.9,405.6,0.9819,98.67,1,3
2024-01-26,standard_pass,721,79,14,65,0.6502,79.0,119297.79,165.46,0.2223,73.34,1,4
2024-01-26,premium_pass,494,33,9,24,0.718,139.0,125483.95,254.02,0.5729,81.22,1,4
2024-01-26,vip_pass,62,6,1,5,0.784,224.28,24387.56,393.35,0.9839,111.02,1,4
2024-01-27,standard_pass,974,84,19,65,0.6551,79.0,162347.96,166.68,0.2777,71.3,1,5
2024-01-27,premium_pass,528,31,10,21,0.7947,139.0,127027.61,240.58,0.6239,64.77,1,5
2024-01-27,vip_pass,69,5,1,4,0.7781,249.0,30204.66,437.75,0.9922,130.21,1,5
2024-01-28,standard_pass,863,74,17,57,0.6354,79.0,143937.63,166.79,0.2867,70.87,1,6
2024-01-28,premium_pass,566,34,11,23,0.7496,139.0,142427.76,251.64,0.6198,76.07,1,6
2024-01-28,vip_pass,81,6,1,5,0.8637,249.0,31413.55,387.82,0.8479,88.79,1,6
2024-01-29,standard_pass,488,28,9,19,0.617,79.0,80677.28,165.32,0.2444,71.9,1,0
2024-01-29,premium_pass,306,29,6,23,0.7366,114.72,66490.66,217.29,0.5562,69.75,1,0
2024-01-29,vip_pass,41,2,0,2,0.8268,249.0,16541.02,403.44,0.8682,103.21,1,0
2024-01-30,standard_pass,561,55,11,44,0.629,79.0,92698.19,165.24,0.2307,72.63,1,1
2024-01-30,premium_pass,298,20,5,15,0.7684,139.0,72349.0,242.78,0.6179,67.33,1,1
2024-01-30,vip_pass,45,3,0,3,0.7845,249.0,19335.86,429.69,0.9883,122.37,1,1
2024-01-31,standard_pass,538,36,10,26,0.6673,79.0,82777.54,153.86,0.2356,60.96,1,2
2024-01-31,premium_pass,319,25,6,19,0.7018,139.0,78801.03,247.03,0.5902,73.2,1,2
2024-01-31,vip_pass,44,3,0,3,0.8106,232.46,17522.13,398.23,0.8659,114.68,1,2
2024-02-01,standard_pass,708,74,14,60,0.6238,79.0,109439.46,154.58,0.2198,62.61,2,3
2024-02-01,premium_pass,418,33,8,25,0.7384,139.0,106111.52,253.86,0.5466,82.61,2,3
2024-02-01,vip_pass,57,4,1,3,0.8308,249.0,22443.46,393.74,0.9264,90.09,2,3
2024-02-02,standard_pass,804,54,16,38,0.6385,79.0,113333.07,140.96,0.1993,50.2,2,4
2024-02-02,premium_pass,543,30,10,20,0.6749,139.0,129864.45,239.16,0.6142,63.92,2,4
2024-02-02,vip_pass,70,8,1,7,0.8371,249.0,27834.2,397.63,0.9337,93.54,2,4
2024-02-03,standard_pass,1041,119,20,99,0.7113,79.0,171601.19,164.84,0.301,68.08,2,5
2024-02-03,premium_pass,551,40,11,29,0.7584,139.0,126263.56,229.15,0.443,64.02,2,5
2024-02-03,vip_pass,85,5,1,4,0.7958,249.0,35334.44,415.7,0.9334,111.63,2,5
2024-02-04,standard_pass,884,65,17,48,0.6319,79.0,143234.15,162.03,0.258,67.81,2,6
2024-02-04,premium_pass,577,47,11,36,0.6969,139.0,149584.61,259.25,0.5284,89.07,2,6
2024-02-04,vip_pass,88,5,1,4,0.8351,249.0,34484.43,391.87,0.9245,88.32,2,6
2024-02-05,standard_pass,603,54,12,42,0.6464,79.0,86448.69,143.36,0.2257,51.05,2,0
2024-02-05,premium_pass,313,19,6,13,0.7663,139.0,77884.44,248.83,0.6317,72.56,2,0
2024-02-05,vip_pass,51,3,1,2,0.8225,249.0,21177.86,415.25,0.9851,108.13,2,0
2024-02-06,standard_pass,587,60,11,49,0.6026,79.0,87195.38,148.54,0.2208,56.52,2,1
2024-02-06,premium_pass,360,40,7,33,0.7235,139.0,92173.05,256.04,0.5943,81.97,2,1
2024-02-06,vip_pass,49,2,0,2,0.8453,249.0,21396.06,436.65,0.9824,129.69,2,1
2024-02-07,standard_pass,685,41,13,28,0.6173,79.0,92869.44,135.58,0.1791,46.01,2,2
2024-02-07,premium_pass,383,39,7,32,0.7396,139.0,91743.08,239.54,0.6215,63.87,2,2
2024-02-07,vip_pass,57,3,1,2,0.8686,207.76,21765.08,381.84,0.8978,121.11,2,2
2024-02-08,standard_pass,714,67,14,53,0.6624,79.0,109161.62,152.89,0.3138,55.37,2,3
2024-02-08,premium_pass,373,42,7,35,0.6966,139.0,101004.02,270.79,0.6548,93.15,2,3
2024-02-08,vip_pass,53,4,1,3,0.9034,231.77,22156.17,418.04,0.9265,131.61,2,3
2024-02-09,standard_pass,875,86,17,69,0.6565,79.0,136126.28,155.57,0.2421,62.29,2,4
2024-02-09,premium_pass,514,40,10,30,0.7555,139.0,128137.46,249.29,0.585,75.78,2,4
2024-02-09,vip_pass,66,7,1,6,0.9062,249.0,25909.21,392.56,0.9462,87.74,2,4
2024-02-10,standard_pass,974,103,19,84,0.6756,79.0,136870.58,140.52,0.104,55.39,2,5
2024-02-10,premium_pass,570,57,11,46,0.7049,139.0,135307.07,237.38,0.567,64.93,2,5
2024-02-10,vip_pass,78,6,1,5,0.8541,249.0,32513.96,416.85,0.9121,114.03,2,5
2024-02-11,standard_pass,997,50,19,31,0.6195,79.0,142535.16,142.96,0.2458,49.46,2,6
2024-02-11,premium_pass,557,31,11,20,0.75,139.0,131471.23,236.03,0.5879,62.35,2,6
2024-02-11,vip_pass,85,5,1,4,0.8266,249.0,33198.01,390.56,0.9278,86.83,2,6
2024-02-12,standard_pass,572,51,11,40,0.6917,79.0,80742.26,141.16,0.087,57.02,2,0
2024-02-12,premium_pass,340,20,6,14,0.7587,139.0,83481.6,245.53,0.5673,73.07,2,0
2024-02-12,vip_pass,45,4,0,4,0.8191,249.0,19074.3,423.87,0.9165,120.8,2,0
2024-02-13,standard_pass,631,32,12,20,0.6289,79.0,85451.78,135.42,0.1836,45.59,2,1
2024-02-13,premium_pass,328,34,6,28,0.765,139.0,76618.61,233.59,0.5273,63.48,2,1
2024-02-13,vip_pass,48,4,0,4,0.837,249.0,20276.63,422.43,0.9326,118.4,2,1
2024-02-14,standard_pass,609,42,12,30,0.5999,79.0,101525.86,166.71,0.3082,69.52,2,2
2024-02-14,premium_pass,366,24,7,17,0.7895,139.0,91461.04,249.89,0.4923,81.85,2,2
2024-02-14,vip_pass,53,4,1,3,0.7774,249.0,22517.2,424.85,0.8928,123.18,2,2
2024-02-15,standard_pass,634,70,12,58,0.6792,79.0,94874.98,149.65,0.2185,57.76,2,3
2024-02-15,premium_pass,360,24,7,17,0.8147,139.0,86429.02,240.08,0.6136,64.88,2,3
2024-02-15,vip_pass,60,7,1,6,0.7913,249.0,23369.82,389.5,0.925,85.92,2,3
2024-02-16,standard_pass,935,54,18,36,0.6011,79.0,147870.82,158.15,0.2476,64.54,2,4
2024-02-16,premium_pass,537,34,10,24,0.7986,139.0,131023.14,243.99,0.6585,66.14,2,4
2024-02-16,vip_pass,77,6,1,5,0.8415,205.41,28844.33,374.6,0.8015,121.9,2,4
2024-02-17,standard_pass,923,85,18,67,0.6317,79.0,132450.99,143.5,0.1497,55.67,2,5
2024-02-17,premium_pass,613,43,12,31,0.7215,139.0,167823.81,273.77,0.7116,92.79,2,5
2024-02-17,vip_pass,87,5,1,4,0.8127,249.0,36407.94,418.48,0.9261,114.84,2,5
2024-02-18,standard_pass,939,97,18,79,0.649,79.0,145778.51,155.25,0.3085,58.04,2,6
2024-02-18,premium_pass,538,57,10,47,0.769,139.0,138129.94,256.75,0.6286,80.66,2,6
2024-02-18,vip_pass,78,4,1,3,0.8278,249.0,32542.07,417.21,0.951,112.1,2,6
2024-02-19,standard_pass,618,62,12,50,0.6668,79.0,102368.1,165.64,0.274,70.48,2,0
2024-02-19,premium_pass,319,26,6,20,0.7629,139.0,80933.73,253.71,0.5904,79.88,2,0
2024-02-19,vip_pass,51,2,1,1,0.7976,249.0,22436.93,439.94,0.9727,133.55,2,0
2024-02-20,standard_pass,666,55,13,42,0.6508,79.0,107848.87,161.94,0.2215,69.87,2,1
2024-02-20,premium_pass,323,29,6,23,0.737,125.72,74587.54,230.92,0.5645,71.9,2,1
2024-02-20,vip_pass,53,2,1,1,0.8424,249.0,21121.83,398.53,0.8235,100.94,2,1
2024-02-21,standard_pass,664,74,13,61,0.6095,73.51,88880.38,133.86,0.2493,45.64,2,2
2024-02-21,premium_pass,406,35,8,27,0.7345,139.0,105292.15,259.34,0.6505,81.96,2,2
2024-02-21,vip_pass,58,6,1,5,0.8166,249.0,24907.9,429.45,0.9927,121.88,2,2
2024-02-22,standard_pass,648,37,12,25,0.6097,79.0,91548.28,141.28,0.1741,52.01,2,3
2024-02-22,premium_pass,362,18,7,11,0.749,139.0,93286.89,257.7,0.5917,83.79,2,3
2024-02-22,vip_pass,53,6,1,5,0.8595,249.0,21784.0,411.02,0.9093,108.37,2,3
2024-02-23,standard_pass,883,54,17,37,0.655,79.0,135817.22,153.81,0.2446,60.38,2,4
2024-02-23,premium_pass,476,29,9,20,0.7313,139.0,116065.81,243.84,0.5522,72.25,2,4
2024-02-23,vip_pass,65,7,1,6,0.8726,249.0,25628.92,394.29,0.8915,92.69,2,4
2024-02-24,standard_pass,1071,70,21,49,0.6561,79.0,160554.83,149.91,0.1442,62.4,2,5
2024-02-24,premium_pass,539,60,10,50,0.7316,139.0,143117.48,265.52,0.5606,93.45,2,5
2024-02-24,vip_pass,90,9,1,8,0.8498,214.46,33938.11,377.09,1.0,103.63,2,5
2024-02-25,standard_pass,925,93,18,75,0.6248,79.0,145644.34,157.45,0.2196,65.5,2,6
2024-02-25,premium_pass,518,56,10,46,0.6456,139.0,134429.64,259.52,0.5365,88.86,2,6
2024-02-25,vip_pass,78,7,1,6,0.7808,249.0,33502.23,429.52,0.9431,124.87,2,6
2024-02-26,standard_pass,594,65,11,54,0.6622,79.0,95047.97,160.01,0.2558,65.92,2,0
2024-02-26,premium_pass,348,32,6,26,0.7305,139.0,92272.96,265.15,0.604,90.51,2,0
2024-02-26,vip_pass,43,4,0,4,0.8189,249.0,16935.94,393.86,0.8783,93.04,2,0
2024-02-27,standard_pass,650,70,13,57,0.6432,79.0,101073.62,155.5,0.2202,63.51,2,1
2024-02-27,premium_pass,391,36,7,29,0.7726,139.0,100303.76,256.53,0.5125,87.29,2,1
2024-02-27,vip_pass,46,4,0,4,0.8461,249.0,19322.42,420.05,0.9224,116.63,2,1
2024-02-28,standard_pass,703,40,14,26,0.6553,66.77,103479.27,147.2,0.2404,66.25,2,2
2024-02-28,premium_pass,345,31,6,25,0.7859,129.37,87343.74,253.17,0.5038,94.07,2,2
2024-02-28,vip_pass,59,6,1,5,0.841,200.03,20882.21,353.94,0.8937,101.18,2,2
2024-02-29,standard_pass,682,70,13,57,0.6333,79.0,117606.23,172.44,0.3141,74.91,2,3
2024-02-29,premium_pass,393,32,7,25,0.7632,139.0,94110.09,239.47,0.5549,67.73,2,3
2024-02-29,vip_pass,52,5,1,4,0.7916,249.0,20717.15,398.41,0.9636,92.55,2,3
2024-03-01,standard_pass,1278,148,25,123,0.7054,79.0,181539.52,142.05,0.1665,53.23,3,4
2024-03-01,premium_pass,829,65,16,49,0.7428,139.0,195103.7,235.35,0.5976,61.09,3,4
2024-03-01,vip_pass,111,8,2,6,0.8275,249.0,44494.61,400.85,0.9759,94.28,3,4
2024-03-02,standard_pass,1623,169,32,137,0.6671,79.0,254952.77,157.09,0.2424,63.79,3,5
2024-03-02,premium_pass,816,42,16,26,0.7559,139.0,205766.51,252.16,0.6155,76.85,3,5
2024-03-02,vip_pass,116,6,2,4,0.8097,249.0,48439.25,417.58,1.0,109.58,3,5
2024-03-03,standard_pass,1330,120,26,94,0.6752,79.0,197786.11,148.71,0.1874,58.66,3,6
2024-03-03,premium_pass,767,42,15,27,0.7364,139.0,181225.03,236.28,0.4588,70.21,3,6
2024-03-03,vip_pass,126,13,2,11,0.801,249.0,55121.52,437.47,0.9176,134.33,3,6
2024-03-04,standard_pass,802,68,16,52,0.6951,79.0,112168.8,139.86,0.2639,45.29,3,0
2024-03-04,premium_pass,486,41,9,32,0.7426,112.84,106404.27,218.94,0.5459,73.89,3,0
2024-03-04,vip_pass,66,5,1,4,0.8597,249.0,26300.53,398.49,0.9512,93.37,3,0
2024-03-05,standard_pass,845,79,16,63,0.7044,79.0,134742.42,159.46,0.2379,66.42,3,1
2024-03-05,premium_pass,567,41,11,30,0.7534,139.0,142801.26,251.85,0.6275,75.83,3,1
2024-03-05,vip_pass,78,6,1,5,0.8189,208.43,27790.62,356.29,0.9302,92.98,3,1
2024-03-06,standard_pass,1044,68,20,48,0.6657,79.0,156843.73,150.23,0.1913,59.95,3,2
2024-03-06,premium_pass,573,57,11,46,0.7511,139.0,147479.93,257.38,0.586,83.81,3,2
2024-03-06,vip_pass,74,3,1,2,0.8223,249.0,31058.99,419.72,0.8366,121.36,3,2
2024-03-07,standard_pass,1075,85,21,64,0.6132,79.0,143903.12,133.86,0.1468,46.2,3,3
2024-03-07,premium_pass,642,58,12,46,0.8005,139.0,168483.98,262.44,0.5571,90.57,3,3
2024-03-07,vip_pass,92,7,1,6,0.8496,249.0,36262.97,394.16,0.8412,95.53,3,3
2024-03-08,standard_pass,1327,125,26,99,0.6312,79.0,219510.48,165.42,0.2398,72.27,3,4
2024-03-08,premium_pass,707,47,14,33,0.7492,139.0,188879.15,267.16,0.6386,90.48,3,4
2024-03-08,vip_pass,106,9,2,7,0.8645,249.0,42686.4,402.7,0.833,104.55,3,4
2024-03-09,standard_pass,1653,112,33,79,0.6112,79.0,238578.56,144.33,0.278,48.93,3,5
2024-03-09,premium_pass,964,78,19,59,0.7523,139.0,249142.03,258.45,0.5159,89.01,3,5
2024-03-09,vip_pass,124,8,2,6,0.875,249.0,49496.97,399.17,0.9625,93.38,3,5
2024-03-10,standard_pass,1322,134,26,108,0.6404,79.0,221139.55,167.28,0.3238,69.17,3,6
2024-03-10,premium_pass,865,95,17,78,0.7422,139.0,202962.57,234.64,0.5702,62.0,3,6
2024-03-10,vip_pass,122,14,2,12,0.852,249.0,50435.24,413.4,0.916,110.36,3,6
2024-03-11,standard_pass,1255,75,25,50,0.6775,79.0,192604.88,153.47,0.2373,60.47,3,0
2024-03-11,premium_pass,804,77,16,61,0.7832,139.0,203992.82,253.72,0.528,83.57,3,0
2024-03-11,vip_pass,126,7,2,5,0.8113,249.0,50634.04,401.86,1.0,93.86,3,0
2024-03-12,standard_pass,1525,165,30,135,0.6545,79.0,238802.88,156.59,0.2382,63.54,3,1
2024-03-12,premium_pass,920,82,18,64,0.7832,139.0,239000.11,259.78,0.6394,83.06,3,1
2024-03-12,vip_pass,119,11,2,9,0.8391,249.0,46227.39,388.47,0.8823,87.41,3,1
2024-03-13,standard_pass,1703,133,34,99,0.6596,79.0,273123.98,160.38,0.2411,67.15,3,2
2024-03-13,premium_pass,975,76,19,57,0.7857,139.0,249871.57,256.28,0.5186,86.68,3,2
2024-03-13,vip_pass,137,11,2,9,0.8255,249.0,53284.56,388.94,0.9263,85.29,3,2
2024-03-14,standard_pass,1584,119,31,88,0.6978,79.0,234340.56,147.94,0.1777,58.46,3,3
2024-03-14,premium_pass,907,69,18,51,0.7993,139.0,228946.08,252.42,0.6305,76.22,3,3
2024-03-14,vip_pass,133,14,2,12,0.755,211.95,49869.07,374.96,1.0,104.01,3,3
2024-03-15,standard_pass,2031,184,40,144,0.7199,79.0,332086.31,163.51,0.2563,69.39,3,4
2024-03-15,premium_pass,1262,147,25,122,0.7424,139.0,298445.34,236.49,0.5996,62.11,3,4
2024-03-15,vip_pass,187,13,3,10,0.829,249.0,74747.66,399.72,0.8725,99.24,3,4
2024-03-16,standard_pass,2325,246,46,200,0.5926,79.0,371151.83,159.64,0.2398,66.48,3,5
2024-03-16,premium_pass,1347,106,26,80,0.746,139.0,322068.55,239.1,0.572,66.35,3,5
2024-03-16,vip_pass,202,20,4,16,0.8348,249.0,87599.63,433.66,0.8731,133.15,3,5
2024-03-17,standard_pass,2325,247,46,201,0.6326,79.0,385275.71,165.71,0.2232,73.54,3,6
2024-03-17,premium_pass,1388,148,27,121,0.7415,139.0,355033.54,255.79,0.6001,81.38,3,6
2024-03-17,vip_pass,190,20,3,17,0.8217,249.0,81609.34,429.52,0.9576,124.03,3,6
2024-03-18,standard_pass,825,88,16,72,0.7046,70.59,115238.14,139.68,0.1786,58.55,3,0
2024-03-18,premium_pass,512,31,10,21,0.769,139.0,121748.85,237.79,0.6007,63.35,3,0
2024-03-18,vip_pass,65,6,1,5,0.8589,249.0,26815.44,412.55,1.0,104.55,3,0
2024-03-19,standard_pass,935,79,18,61,0.6259,79.0,152726.01,163.34,0.302,66.53,3,1
2024-03-19,premium_pass,556,66,11,55,0.7671,139.0,133886.72,240.8,0.6614,62.78,3,1
2024-03-19,vip_pass,70,7,1,6,0.8125,249.0,28212.54,403.04,0.8693,102.75,3,1
2024-03-20,standard_pass,888,76,17,59,0.657,79.0,134901.79,151.92,0.1422,64.53,3,2
2024-03-20,premium_pass,570,41,11,30,0.7868,139.0,144105.08,252.82,0.5195,83.16,3,2
2024-03-20,vip_pass,81,8,1,7,0.8088,249.0,35315.74,436.0,0.9172,132.88,3,2
2024-03-21,standard_pass,959,94,19,75,0.6551,68.54,139085.05,145.03,0.1493,67.68,3,3
2024-03-21,premium_pass,580,55,11,44,0.734,139.0,153007.39,263.81,0.5096,94.74,3,3
2024-03-21,vip_pass,92,8,1,7,0.8323,249.0,36464.75,396.36,0.9814,89.46,3,3
2024-03-22,standard_pass,1362,80,27,53,0.6651,79.0,190384.28,139.78,0.2491,46.08,3,4
2024-03-22,premium_pass,726,49,14,35,0.7289,139.0,182878.22,251.9,0.5681,79.38,3,4
2024-03-22,vip_pass,103,8,2,6,0.8947,249.0,44383.92,430.91,0.8634,130.97,3,4
2024-03-23,standard_pass,1511,180,30,150,0.6385,79.0,214319.8,141.84,0.2432,48.49,3,5
2024-03-23,premium_pass,937,71,18,53,0.7671,139.0,222838.26,237.82,0.61,62.83,3,5
2024-03-23,vip_pass,123,7,2,5,0.7989,249.0,52176.87,424.2,0.9857,117.05,3,5
2024-03-24,standard_pass,1552,91,31,60,0.7239,79.0,219359.28,141.34,0.205,50.25,3,6
2024-03-24,premium_pass,850,66,17,49,0.7388,111.74,176597.42,207.76,0.5304,64.73,3,6
2024-03-24,vip_pass,132,11,2,9,0.8279,249.0,54782.94,415.02,0.9443,110.31,3,6
2024-03-25,standard_pass,853,48,17,31,0.6137,79.0,134992.22,158.26,0.25,64.51,3,0
2024-03-25,premium_pass,468,25,9,16,0.7436,131.94,108848.81,232.58,0.6545,62.02,3,0
2024-03-25,vip_pass,74,8,1,7,0.8131,210.53,26169.91,353.65,0.8995,90.05,3,0
2024-03-26,standard_pass,953,51,19,32,0.6548,79.0,148139.63,155.45,0.2202,63.46,3,1
2024-03-26,premium_pass,514,48,10,38,0.6734,129.69,124595.86,242.4,0.6267,75.74,3,1
2024-03-26,vip_pass,71,5,1,4,0.8662,249.0,30232.59,425.81,0.9042,123.47,3,1
2024-03-27,standard_pass,876,69,17,52,0.6383,79.0,139935.63,159.74,0.2192,67.81,3,2
2024-03-27,premium_pass,525,45,10,35,0.7202,139.0,130741.77,249.03,0.5785,75.9,3,2
2024-03-27,vip_pass,86,4,1,3,0.7942,249.0,36552.54,425.03,0.918,121.87,3,2
2024-03-28,standard_pass,1021,77,20,57,0.6238,79.0,160324.81,157.03,0.1062,71.76,3,3
2024-03-28,premium_pass,653,68,13,55,0.7843,139.0,155954.06,238.83,0.524,68.91,3,3
2024-03-28,vip_pass,91,4,1,3,0.8273,249.0,38580.88,423.97,0.9661,117.97,3,3
2024-03-29,standard_pass,1398,132,27,105,0.6308,79.0,198490.61,141.98,0.2284,49.51,3,4
2024-03-29,premium_pass,791,67,15,52,0.7431,126.14,176506.84,223.14,0.5845,62.52,3,4
